Order_ID,Приоритет,Количество,Выручка,Метод доставки,Прибыль,Покупатель,Регион,Продукт,Упаковка продукта,Сегмент покупателя,Категория продукта,Подкатегория продукта,Менеджер,Стоимость доставки,Дата
11969.0,Not Specified,16.0,1684.96,Regular Air,-553.06,Ivan Liston,Atlantic,"Carina Mini System Audio Rack, Model AR050B",Large Box,,,,,,
22368.0,Medium,34.0,2788.04,Regular Air,-849.18,Sarah Jordon,Atlantic,"Carina 42""Hx23 3/4""W Media Storage Unit",Large Box,,,,,,
4612.0,Medium,9.0,89.55,Regular Air,-375.64,Jim Radford,Nunavut,Hoover Portapowerв„ў Portable Vacuum,Large Box,,,,,,
7110.0,Low,22.0,6396.2,Regular Air,,Grant Carroll,Nunavut,SAFCO Arco Folding Chair,Large Box,,,,,,
9927.0,High,44.0,10087.6,Regular Air,,Grant Carroll,Northwest Territories,"Lifetime Advantageв„ў Folding Chairs, 4/Carton",Large Box,,,,,,
11456.0,Low,15.0,1519.9,Regular Air,399.37,Doug Bickford,Northwest Territories,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,,,,,,
24743.0,Low,26.0,3758.77,Regular Air,753.61,Sylvia Foulston,Northwest Territories,Hon Olson Stacker Stools,Large Box,,,,,,
30658.0,Medium,35.0,17387.65,Regular Air,,Charles McCrossin,Northwest Territories,Sharp AL-1530CS Digital Copier,Large Box,,,,,,
30658.0,Medium,44.0,6040.22,Regular Air,-942.5,Charles McCrossin,Northwest Territories,"SAFCO Commercial Wire Shelving, Black",Large Box,,,,,,
31393.0,Critical,4.0,97.57,Regular Air,-27.31,Cindy Schnelling,Northwest Territories,Luxo Economy Swing Arm Lamp,Large Box,,,,,,
34631.0,Not Specified,19.0,12616.2,Regular Air,,Brendan Dodson,Northwest Territories,Canon PC1060 Personal Laser Copier,Large Box,,,,,,
39683.0,High,41.0,8387.1,Regular Air,,Jeremy Lonsdale,Northwest Territories,"Lifetime Advantageв„ў Folding Chairs, 4/Carton",Large Box,,,,,,
42209.0,High,31.0,8901.78,Regular Air,,Alan Barnes,Northwest Territories,SAFCO Arco Folding Chair,Large Box,,,,,,
52964.0,Critical,44.0,5735.79,Regular Air,828.27,Jim Radford,Northwest Territories,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Large Box,,,,,,
4007.0,High,1.0,305.82,Regular Air,-232.24,Jack Lebron,Atlantic,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,,,,,,
11362.0,Low,9.0,6420.87,Regular Air,-690.21,Hilary Holden,Atlantic,Canon PC1060 Personal Laser Copier,Large Box,,,,,,
18788.0,Not Specified,27.0,566.12,Regular Air,-19.33,Joy Smith,Atlantic,Telescoping Adjustable Floor Lamp,Large Box,,,,,,
20033.0,Critical,5.0,2543.95,Regular Air,,Jack Lebron,Atlantic,Sharp AL-1530CS Digital Copier,Large Box,,,,,,
22469.0,High,24.0,1482.81,Regular Air,-678.63,Jack Lebron,Atlantic,Euro Pro Shark Stick Mini Vacuum,Large Box,,,,,,
22469.0,High,23.0,6693.28,Regular Air,40.32,Jack Lebron,Atlantic,Hon 5100 Series Wood Tables,Large Box,,,,,,
30243.0,Critical,21.0,4242.76,Regular Air,340.88,Hilary Holden,Atlantic,Canon PC-428 Personal Copier,Large Box,,,,,,
32199.0,High,1.0,3672.89,Regular Air,,Erica Bern,Atlantic,Canon imageCLASS 2200 Advanced Copier,Large Box,,,,,,
33763.0,Not Specified,23.0,10791.38,Regular Air,-234.79,Evan Minnotte,Atlantic,Sharp AL-1530CS Digital Copier,Large Box,,,,,,
36677.0,Low,38.0,23255.61,Regular Air,-734.33,Jack Lebron,Atlantic,Canon Image Class D660 Copier,Large Box,,,,,,
38310.0,High,4.0,62.45,Regular Air,-141.76,Jack Lebron,Atlantic,HooverВ® Commercial Lightweight Upright Vacuum,Large Box,,,,,,
47846.0,High,5.0,66.43,Regular Air,-9.45,Hilary Holden,Atlantic,Dana Swing-Arm Lamps,Large Box,,,,,,
50404.0,High,10.0,1961.68,Regular Air,-367.0,Guy Armstrong,Prarie,"Lesro Round Back Collection Coffee Table, End Table",Large Box,,,,,,
51461.0,Not Specified,43.0,858.53,Regular Air,-97.54,Greg Guthrie,Prarie,Telescoping Adjustable Floor Lamp,Large Box,,,,,,
54501.0,Critical,38.0,783.96,Regular Air,,Guy Armstrong,Prarie,Tennsco Commercial Shelving,Large Box,,,,,,
55138.0,High,22.0,1132.54,Regular Air,-628.38,Jim Sink,Prarie,Tennsco Industrial Shelving,Large Box,,,,,,
44320.0,Medium,49.0,7002.08,Regular Air,,Sally Knutson,West,Laminate Occasional Tables,Large Box,,,,,,
1925.0,Critical,7.0,1874.37,Regular Air,67.84,Brian Moss,West,SAFCO Arco Folding Chair,Large Box,,,,,,
24070.0,High,3.0,431.29,Regular Air,-164.59,Sonia Sunley,West,Hon Olson Stacker Stools,Large Box,,,,,,
52035.0,High,29.0,20872.16,Regular Air,,Roy Skaria,West,Canon PC1060 Personal Laser Copier,Large Box,,,,,,
4261.0,Critical,32.0,9235.97,Regular Air,,Lela Donovan,West,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Large Box,,,,,,
8992.0,High,3.0,441.43,Regular Air,-154.45,Shahid Shariari,West,Hon Olson Stacker Stools,Large Box,,,,,,
20961.0,Not Specified,34.0,6607.92,Regular Air,,Lela Donovan,West,Canon PC-428 Personal Copier,Large Box,,,,,,
47750.0,Low,1.0,195.04,Regular Air,-149.41,Sally Knutson,Atlantic,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Large Box,,,,,,
48230.0,Not Specified,31.0,2645.8,Regular Air,-684.78,Dana Kaydos,Prarie,"Carina 42""Hx23 3/4""W Media Storage Unit",Large Box,,,,,,
36449.0,Not Specified,6.0,90.75,Regular Air,-26.39,Bruce Stewart,Ontario,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Large Box,,,,,,
53152.0,Medium,9.0,196.41,Regular Air,27.91,Bill Eplett,Ontario,Telescoping Adjustable Floor Lamp,Large Box,,,,,,
15907.0,High,36.0,3722.29,Express Air,950.68,Thomas Seio,Northwest Territories,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Medium Box,,,,,,
49952.0,High,12.0,1323.67,Express Air,630.28,Beth Thompson,Northwest Territories,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,,,,,,
5153.0,Critical,37.0,4896.93,Express Air,,Helen Abelman,Atlantic,SAFCO Folding Chair Trolley,Medium Box,,,,,,
25315.0,Low,36.0,7783.36,Express Air,,Joy Smith,Atlantic,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,Medium Box,,,,,,
31941.0,Medium,32.0,2564.45,Express Air,650.73,Kimberly Carter,West,Honeywell Quietcare HEPA Air Cleaner,Medium Box,,,,,,
2848.0,Critical,35.0,1476.39,Express Air,-303.62,Emily Grady,West,Eldon AdvantageВ® Chair Mats for Low to Medium Pile Carpets,Medium Box,,,,,,
8801.0,Low,32.0,2593.08,Express Air,-673.31,Thomas Brumley,West,Eldon Cleatmat Plusв„ў Chair Mats for High Pile Carpets,Medium Box,,,,,,
18432.0,High,15.0,217.66,Express Air,-24.91,Art Ferguson,Atlantic,Holmes Odor Grabber,Medium Box,,,,,,
49441.0,Medium,49.0,1981.26,Express Air,100.8,Mary O'Rourke,Prarie,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,,,,,,
16165.0,Not Specified,24.0,1452.48,Express Air,376.52,Hallie Redmond,Prarie,Deflect-o Glass Clear Studded Chair Mats,Medium Box,,,,,,
515.0,Not Specified,19.0,394.27,Regular Air,30.94,Carlos Soltero,Nunavut,Holmes HEPA Air Purifier,Medium Box,,,,,,
7906.0,Medium,37.0,1003.06,Regular Air,271.78,Beth Paige,Nunavut,3M Office Air Cleaner,Medium Box,,,,,,
50754.0,Not Specified,9.0,64.03,Regular Air,-58.34,Becky Castell,Northwest Territories,Bell Sonecor JB700 Caller ID,Medium Box,,,,,,
21223.0,Not Specified,8.0,435.29,Regular Air,122.41,Harold Engle,Atlantic,"Deflect-o EconoMat Nonstudded, No Bevel Mat",Medium Box,,,,,,
53508.0,High,25.0,342.85,Regular Air,-32.42,Joy Smith,Prarie,Sharp EL500L Fraction Calculator,Medium Box,,,,,,
15621.0,Critical,39.0,1105.66,Regular Air,-136.2,Gene Hale,West,Eldon Portable Mobile Manager,Medium Box,,,,,,
22980.0,Not Specified,17.0,224.09,Regular Air,-27.92,Rob Haberlin,West,Eldon SimplefileВ® Box OfficeВ®,Medium Box,,,,,,
59584.0,Medium,7.0,1120.27,Regular Air,16.81,Joy Smith,West,Canon MP41DH Printing Calculator,Medium Box,,,,,,
47108.0,Not Specified,7.0,131.55,Regular Air,-43.74,Justin Hirsh,Atlantic,Canon P1-DHIII Palm Printing Calculator,Medium Box,,,,,,
51494.0,Critical,42.0,493.56,Regular Air,-73.0,Justin Hirsh,Atlantic,TI 30X Scientific Calculator,Medium Box,,,,,,
6116.0,Medium,6.0,9620.82,Regular Air,,Barry Weirich,Nunavut,High Speed Automatic Electric Letter Opener,Medium Box,,,,,,
12289.0,Low,25.0,3019.41,Regular Air,,Brendan Dodson,Northwest Territories,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Medium Box,,,,,,
12419.0,Critical,12.0,22079.47,Regular Air,,Sylvia Foulston,Northwest Territories,Polycom ViewStationв„ў Adapter H323 Videoconferencing Unit,Medium Box,,,,,,
18144.0,Critical,8.0,234.28,Regular Air,-65.42,Dorothy Wardle,Northwest Territories,Eldon Portable Mobile Manager,Medium Box,,,,,,
19686.0,Medium,2.0,42.31,Regular Air,-53.08,Alan Barnes,Northwest Territories,Canon P1-DHIII Palm Printing Calculator,Medium Box,,,,,,
22469.0,High,44.0,275.91,Regular Air,-162.37,Jack Lebron,Northwest Territories,Bell Sonecor JB700 Caller ID,Medium Box,,,,,,
27392.0,Low,37.0,5753.85,Regular Air,,Frank Price,Northwest Territories,Canon MP41DH Printing Calculator,Medium Box,,,,,,
27553.0,Medium,16.0,2631.11,Regular Air,297.11,Jim Radford,Northwest Territories,"VTech VT20-2481 2,4GHz Two-Line Phone System w/Answering Machine",Medium Box,,,,,,
28135.0,Critical,37.0,1601.24,Regular Air,520.69,Jeremy Lonsdale,Northwest Territories,Bionaire Personal Warm Mist Humidifier/Vaporizer,Medium Box,,,,,,
32229.0,High,8.0,1219.19,Regular Air,44.37,Carlos Daly,Northwest Territories,Canon MP41DH Printing Calculator,Medium Box,,,,,,
37860.0,Medium,1.0,104.85,Regular Air,-98.31,Mike Pelletier,Northwest Territories,Eldon CleatmatВ® Chair Mats for Medium Pile Carpets,Medium Box,,,,,,
39364.0,High,29.0,2754.93,Regular Air,-1.33,Jamie Kunitz,Northwest Territories,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,,,,,,
43236.0,Not Specified,20.0,205.33,Regular Air,-68.0,Jamie Kunitz,Northwest Territories,DAX Solid Wood Frames,Medium Box,,,,,,
54274.0,Not Specified,20.0,1583.06,Regular Air,328.0,Don Jones,Northwest Territories,Honeywell Quietcare HEPA Air Cleaner,Medium Box,,,,,,
57344.0,High,47.0,1060.06,Regular Air,-71.03,Sylvia Foulston,Northwest Territories,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Medium Box,,,,,,
11362.0,Low,32.0,3245.73,Regular Air,569.57,Hilary Holden,Atlantic,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Medium Box,,,,,,
13604.0,Not Specified,42.0,3609.88,Regular Air,,Erica Bern,Atlantic,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Medium Box,,,,,,
19617.0,Low,38.0,952.47,Regular Air,270.69,Jack Lebron,Atlantic,TI 36X Solar Scientific Calculator,Medium Box,,,,,,
32869.0,Medium,49.0,2470.84,Regular Air,25.0,Christopher Schild,Atlantic,"Deflect-o EconoMat Nonstudded, No Bevel Mat",Medium Box,,,,,,
35300.0,Medium,35.0,1445.6,Regular Air,126.03,Dan Reichenbach,Atlantic,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,,,,,,
42918.0,High,46.0,410.43,Regular Air,-54.58,Logan Haushalter,Atlantic,"Sharp EL501VB Scientific Calculator, Battery Operated, 10-Digit Display, Hard Case",Medium Box,,,,,,
47846.0,High,25.0,2674.18,Regular Air,631.99,Hilary Holden,Atlantic,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Medium Box,,,,,,
47846.0,High,50.0,5513.82,Regular Air,,Hilary Holden,Atlantic,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Medium Box,,,,,,
54501.0,Critical,16.0,225.46,Regular Air,-33.03,Guy Armstrong,Prarie,Sharp EL500L Fraction Calculator,Medium Box,,,,,,
11782.0,Low,27.0,1541.78,Regular Air,14.35,Marina Lichtenstein,West,"Panasonic All Digital Answering System with Caller ID*, KX-TM150B",Medium Box,,,,,,
24576.0,Not Specified,29.0,531.06,Regular Air,24.56,Luke Weiss,West,1726 Digital Answering Machine,Medium Box,,,,,,
37281.0,Medium,25.0,453.25,Regular Air,31.0,Roy Skaria,West,1726 Digital Answering Machine,Medium Box,,,,,,
49761.0,Not Specified,45.0,1090.6,Regular Air,300.91,Lisa DeCherney,West,TI 36X Solar Scientific Calculator,Medium Box,,,,,,
19044.0,Low,32.0,4800.44,Regular Air,,Rob Dowd,West,Canon MP41DH Printing Calculator,Medium Box,,,,,,
38690.0,Low,28.0,697.5,Regular Air,169.89,Shahid Shariari,West,TI 36X Solar Scientific Calculator,Medium Box,,,,,,
50338.0,Not Specified,36.0,551.44,Regular Air,28.0,Liz Price,Atlantic,Sharp EL500L Fraction Calculator,Medium Box,,,,,,
14406.0,Medium,37.0,5610.84,Regular Air,,Charles Sheldon,Atlantic,Canon MP41DH Printing Calculator,Medium Box,,,,,,
27396.0,Critical,14.0,138.31,Regular Air,-31.16,Sean Wendt,West,DAX Solid Wood Frames,Medium Box,,,,,,
41059.0,Medium,45.0,12571.63,Regular Air,,Lycoris Saunders,Ontario,Polycom VoiceStation 100,Medium Box,,,,,,
47174.0,Critical,42.0,642.1,Regular Air,41.56,Maria Bertelson,Ontario,Sharp EL500L Fraction Calculator,Medium Box,,,,,,
57153.0,Critical,9.0,106.05,Regular Air,-14.52,Meg O'Connel,Ontario,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Medium Box,,,,,,
59878.0,High,6.0,112.4,Regular Air,-46.75,Ivan Gibson,Ontario,Canon P1-DHIII Palm Printing Calculator,Medium Box,,,,,,
1218.0,Not Specified,3.0,46.46,Regular Air,-25.13,Craig Carroll,Ontario,Holmes Odor Grabber,Medium Box,,,,,,
13410.0,Not Specified,29.0,701.94,Regular Air,158.91,Bobby Odegard,Ontario,TI 36X Solar Scientific Calculator,Medium Box,,,,,,
15808.0,Critical,3.0,58.14,Regular Air,-96.25,Bill Donatelli,Ontario,1726 Digital Answering Machine,Medium Box,,,,,,
56101.0,Not Specified,1.0,21.45,Regular Air,-7.22,Bill Donatelli,Ontario,Holmes Odor Grabber,Medium Box,,,,,,
1412.0,Not Specified,13.0,59.03,Express Air,26.92,Carlos Soltero,Nunavut,Avery 52,Small Box,,,,,,
4676.0,High,3.0,49.59,Express Air,-8.38,Annie Cyprus,Nunavut,Xerox 1881,Small Box,,,,,,
6182.0,Low,18.0,130.32,Express Air,-67.28,Grant Carroll,Nunavut,Xerox 213,Small Box,,,,,,
6916.0,Low,40.0,436.17,Express Air,-141.27,Andrew Gjertsen,Nunavut,Crate-A-Filesв„ў,Small Box,,,,,,
8419.0,Critical,19.0,368.04,Express Air,70.39,Nicole Hansen,Nunavut,Xerox 1936,Small Box,,,,,,
8995.0,High,5.0,24.16,Express Air,,Beth Paige,Nunavut,StaplesВ® General Use 3-Ring Binders,Small Box,,,,,,
8995.0,High,41.0,270.84,Express Air,-78.02,Beth Paige,Northwest Territories,Xerox 1904,Small Box,,,,,,
9509.0,Not Specified,5.0,101.21,Express Air,13.0,Joy Bell,Northwest Territories,Xerox 1887,Small Box,,,,,,
9927.0,High,34.0,1608.08,Express Air,-82.16,Grant Carroll,Northwest Territories,Microsoft Natural Multimedia Keyboard,Small Box,,,,,,
13795.0,Not Specified,23.0,275.16,Express Air,43.35,Muhammed MacIntyre,Northwest Territories,Xerox 188,Small Box,,,,,,
16706.0,High,49.0,6175.78,Express Air,,Beth Thompson,Northwest Territories,T39m,Small Box,,,,,,
19138.0,Low,30.0,387.0,Express Air,-31.45,Carlos Daly,Northwest Territories,Recycled Eldon Regeneration Jumbo File,Small Box,,,,,,
22501.0,High,2.0,30.83,Express Air,27.0,Alan Barnes,Northwest Territories,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Small Box,,,,,,
25318.0,Critical,22.0,440.92,Express Air,-65.18,Julia West,Northwest Territories,12-1/2 Diameter Round Wall Clock,Small Box,,,,,,
25634.0,Not Specified,26.0,626.07,Express Air,185.32,Mike Pelletier,Northwest Territories,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Small Box,,,,,,
26370.0,Not Specified,20.0,660.27,Express Air,63.83,Fred Wasserman,Northwest Territories,Home/Office Personal File Carts,Small Box,,,,,,
31492.0,Critical,34.0,971.95,Express Air,-21.1,Nicole Hansen,Northwest Territories,Acco PermaВ® 2700 Stacking Storage Drawers,Small Box,,,,,,
31684.0,Critical,28.0,456.91,Express Air,-328.18,Susan Vittorini,Northwest Territories,"Tenex File Box, Personal Filing Tote with Lid, Black",Small Box,,,,,,
32193.0,Low,4.0,40.72,Express Air,-10.25,Chad Cunningham,Northwest Territories,"HP Office Paper (20Lb, and 87 Bright)",Small Box,,,,,,
33703.0,Not Specified,4.0,63.52,Express Air,-8.47,Carl Ludwig,Northwest Territories,Portable Personal File Box,Small Box,,,,,,
33894.0,Critical,13.0,438.93,Express Air,-119.02,Doug Bickford,Northwest Territories,PC Concepts 116 Key Quantum 3000 Keyboard,Small Box,,,,,,
37541.0,Medium,10.0,550.61,Express Air,98.32,Claudia Miner,Northwest Territories,Xerox 1882,Small Box,,,,,,
42561.0,Low,15.0,1062.96,Express Air,298.48,Beth Paige,Northwest Territories,Accessory12,Small Box,,,,,,
43781.0,Not Specified,21.0,917.39,Express Air,393.41,Claudia Miner,Northwest Territories,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Small Box,,,,,,
44839.0,Critical,27.0,899.97,Express Air,-246.3,Julia West,Northwest Territories,"LindenВ® 12"" Wall Clock With Oak Frame",Small Box,,,,,,
52193.0,Not Specified,1.0,17.89,Express Air,51.0,Mike Pelletier,Northwest Territories,Avery 492,Small Box,,,,,,
52929.0,High,43.0,701.46,Express Air,-90.14,Muhammed MacIntyre,Northwest Territories,"AT&T Black Trimline Phone, Model 210",Small Box,,,,,,
55715.0,Critical,28.0,168.57,Express Air,16.65,Eugene Barchas,Northwest Territories,"Wilson Jones 1"" Hanging DublLockВ® Ring Binders",Small Box,,,,,,
57509.0,Low,39.0,199.39,Express Air,101.13,Neola Schneider,Northwest Territories,Avery 493,Small Box,,,,,,
58368.0,High,5.0,325.43,Express Air,-76.11,Doug Bickford,Atlantic,Fellowes Bankers Boxв„ў StaxonsteelВ® Drawer File/Stacking System,Small Box,,,,,,
59395.0,Critical,20.0,963.3,Express Air,367.12,Cari Schnelling,Atlantic,Xerox 1885,Small Box,,,,,,
11269.0,Low,39.0,2083.05,Express Air,354.96,Harold Engle,Atlantic,i1000,Small Box,,,,,,
13927.0,Low,26.0,188.05,Express Air,-21.41,Dan Reichenbach,Atlantic,Xerox 1985,Small Box,,,,,,
15463.0,Low,48.0,293.3,Express Air,-193.48,Evan Minnotte,Atlantic,Xerox 1920,Small Box,,,,,,
22656.0,Not Specified,10.0,309.3,Express Air,-77.89,Evan Minnotte,Atlantic,Belkin ErgoBoardв„ў Keyboard,Small Box,,,,,,
24038.0,High,15.0,896.18,Express Air,82.04,Jack Lebron,Atlantic,8860,Small Box,,,,,,
24067.0,High,46.0,2640.69,Express Air,751.38,Frank Atkinson,Atlantic,252,Small Box,,,,,,
24965.0,Low,6.0,2528.49,Express Air,580.15,Jack Lebron,Atlantic,GBC DocuBind 200 Manual Binding Machine,Small Box,,,,,,
29382.0,High,34.0,684.66,Express Air,35.09,Greg Guthrie,Atlantic,12-1/2 Diameter Round Wall Clock,Small Box,,,,,,
36293.0,Medium,25.0,165.36,Express Air,-94.79,Carlos Soltero,Atlantic,Xerox 220,Small Box,,,,,,
40480.0,Critical,19.0,7608.88,Express Air,,Harold Engle,Atlantic,GBC DocuBind 200 Manual Binding Machine,Small Box,,,,,,
48067.0,Low,31.0,3229.66,Express Air,695.06,Jennifer Braxton,Atlantic,270c,Small Box,,,,,,
48067.0,Low,24.0,4010.94,Express Air,630.7,Jennifer Braxton,Atlantic,T28 WORLD,Small Box,,,,,,
49029.0,High,49.0,8223.07,Express Air,,Jim Sink,Atlantic,CF 888,Small Box,,,,,,
49216.0,High,29.0,374.67,Express Air,30.63,Noah Childs,Prarie,Staples Premium Bright 1-Part Blank Computer Paper,Small Box,,,,,,
52482.0,Critical,21.0,848.2,Express Air,163.78,Greg Guthrie,Prarie,Belkin 8 Outlet Surge Protector,Small Box,,,,,,
5318.0,High,29.0,5010.74,Express Air,,Matt Collins,West,2160i,Small Box,,,,,,
9123.0,Critical,27.0,384.9,Express Air,-108.28,Matt Collins,West,Project Tote Personal File,Small Box,,,,,,
11553.0,Medium,28.0,1350.34,Express Air,-517.17,Justin Knight,West,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Small Box,,,,,,
20448.0,Critical,23.0,104.82,Express Air,84.0,Luke Weiss,West,Colored Envelopes,Small Box,,,,,,
28802.0,High,36.0,336.25,Express Air,25.95,Sanjit Chand,West,Southworth 25% Cotton Antique Laid Paper & Envelopes,Small Box,,,,,,
37315.0,Low,31.0,4726.6,Express Air,,Luke Weiss,West,5165,Small Box,,,,,,
38565.0,Critical,20.0,234.09,Express Air,-11.69,Justin Knight,West,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Small Box,,,,,,
53863.0,High,46.0,7807.45,Express Air,,Christina DeMoss,West,Fellowes Super Stor/DrawerВ® Files,Small Box,,,,,,
57959.0,Medium,48.0,1269.79,Express Air,-65.33,Sally Knutson,West,"Micro Innovations Micro 3000 Keyboard, Black",Small Box,,,,,,
928.0,Low,21.0,1222.68,Express Air,300.97,Anthony O'Donnell,West,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Small Box,,,,,,
928.0,Low,26.0,390.2,Express Air,45.0,Anthony O'Donnell,West,DAX Clear Channel Poster Frame,Small Box,,,,,,
5504.0,High,6.0,49.55,Express Air,-20.33,Anna Andreadi,West,"HP Office Recycled Paper (20Lb, and 87 Bright)",Small Box,,,,,,
14852.0,Medium,9.0,3800.4,Express Air,,Angele Hood,West,GBC DocuBind 200 Manual Binding Machine,Small Box,,,,,,
26978.0,Medium,47.0,695.99,Express Air,-157.44,Seth Vernon,West,Eldon Jumbo ProFileв„ў Portable File Boxes Graphite/Black,Small Box,,,,,,
32871.0,High,42.0,939.77,Express Air,72.0,Jim Karlsson,West,Microsoft Internet Keyboard,Small Box,,,,,,
39301.0,Medium,16.0,2232.66,Express Air,-521.09,Kelly Williams,West,Adesso Programmable 142-Key Keyboard,Small Box,,,,,,
50310.0,Medium,42.0,1811.3,Express Air,520.41,Sarah Foster,West,Belkin F9M820V08 8 Outlet Surge,Small Box,,,,,,
52737.0,Not Specified,14.0,125.54,Express Air,-15.74,Alex Avila,West,GBC VeloBinder Strips,Small Box,,,,,,
54560.0,Critical,45.0,2404.6,Express Air,496.89,Barbara Fisher,West,MicroTAC 650,Small Box,,,,,,
55777.0,Not Specified,1.0,65.75,Express Air,-252.48,Roy Skaria,West,StarTAC 7760,Small Box,,,,,,
